interpro	term
IPR000960	GO:0004499
IPR000960	GO:0050660
IPR000960	GO:0050661
IPR000961	GO:0004674
IPR000961	GO:0005524
IPR000962	GO:0008270
IPR000965	GO:0004350
IPR000966	GO:0046872
IPR000967	GO:0003700
IPR000967	GO:0008270
IPR000969	GO:0003677
IPR000971	GO:0005506
IPR000971	GO:0020037
IPR000972	GO:0003700
IPR000973	GO:0015026
IPR000974	GO:0003796
IPR000977	GO:0003910
IPR000977	GO:0005524
IPR000980	GO:0005515
IPR000981	GO:0005185
IPR000982	GO:0005198
IPR000983	GO:0008565
IPR000986	GO:0004983
IPR000987	GO:0038036
IPR000989	GO:0003677
IPR000995	GO:0016907
IPR000996	GO:0005198
IPR000997	GO:0004104
IPR000999	GO:0003723
IPR000999	GO:0004525
IPR001000	GO:0004553
IPR001001	GO:0003677
IPR001001	GO:0003887
IPR001001	GO:0008408
IPR001002	GO:0008061
IPR001004	GO:0004937
IPR001005	GO:0003682
IPR001006	GO:0008475
IPR001007	GO:0005515
IPR001008	GO:0046872
IPR001009	GO:0003723
IPR001009	GO:0003968
IPR001011	GO:0003993
IPR001012	GO:0005515
IPR001013	GO:0004995
IPR001015	GO:0004325
IPR001017	GO:0016624
IPR001018	GO:0008270
IPR001018	GO:0008800
IPR001019	GO:0003924
IPR001019	GO:0004871
IPR001019	GO:0019001
IPR001019	GO:0031683
IPR001021	GO:0003735
IPR001021	GO:0008097
IPR001022	GO:0003676
IPR001024	GO:0005515
IPR001025	GO:0003682
IPR001028	GO:0004621
IPR001029	GO:0005198
IPR001031	GO:0016788
IPR001032	GO:0019825
IPR001032	GO:0020037
IPR001033	GO:0005198
IPR001033	GO:0045296
IPR001034	GO:0003700
IPR001036	GO:0005215
IPR001037	GO:0003676
IPR001040	GO:0003723
IPR001040	GO:0003743
IPR001041	GO:0009055
IPR001041	GO:0051536
IPR001044	GO:0003697
IPR001044	GO:0004519
IPR001045	GO:0003824
IPR001046	GO:0005215
IPR001047	GO:0003735
IPR001050	GO:0008092
IPR001053	GO:0016494
IPR001054	GO:0016849
IPR001055	GO:0009055
IPR001055	GO:0051537
IPR001056	GO:0042301
IPR001057	GO:0004349
IPR001059	GO:0003746
IPR001063	GO:0003735
IPR001065	GO:0016907
IPR001067	GO:0003700
IPR001069	GO:0004993
IPR001070	GO:0005198
IPR001071	GO:0005215
IPR001075	GO:0005506
IPR001075	GO:0051536
IPR001077	GO:0008171
IPR001078	GO:0016746
IPR001079	GO:0030246
IPR001080	GO:0005506
IPR001080	GO:0009055
IPR001083	GO:0003677
IPR001083	GO:0003700
IPR001083	GO:0005507
IPR001084	GO:0015631
IPR001085	GO:0004372
IPR001086	GO:0004664
IPR001087	GO:0016788
IPR001088	GO:0004553
IPR001089	GO:0008009
IPR001091	GO:0003677
IPR001091	GO:0008170
IPR001093	GO:0003824
IPR001094	GO:0005506
IPR001094	GO:0010181
IPR001095	GO:0003989
IPR001096	GO:0004197
IPR001098	GO:0003677
IPR001098	GO:0003887
IPR001099	GO:0016746
IPR001103	GO:0003677
IPR001103	GO:0004882
IPR001103	GO:0005496
IPR001104	GO:0016627
IPR001105	GO:0004960
IPR001106	GO:0016841
IPR001108	GO:0004190
IPR001111	GO:0008083
IPR001112	GO:0004962
IPR001114	GO:0004019
IPR001114	GO:0005525
IPR001115	GO:0004937
IPR001116	GO:0004994
IPR001117	GO:0016491
IPR001122	GO:0005198
IPR001124	GO:0008289
IPR001126	GO:0003684
IPR001126	GO:0003887
IPR001128	GO:0005506
IPR001128	GO:0016705
IPR001128	GO:0020037
IPR001130	GO:0016888
IPR001133	GO:0016651
IPR001134	GO:0005515
